Transaction Category,Transaction Date,Transaction Type,Recipient,Payer,Amount (debit),Amount (credit)
service,1606-11-01,debit,Musicians,Inner Temple,240,
goods,1606-11-01,debit,,Inner Temple,24,
service,1606-11-01,debit,,Inner Temple,1200,
service,1606-11-01,debit,Musicians,Inner Temple,240,
goods,1606-11-01,debit,,Inner Temple,48,
service,1606-11-01,debit,Raphe Smith [the carpenter],Inner Temple,30,
service,1607-11-01,debit,musicians fee,Inner Temple,240,
goods,1607-11-01,debit,,Inner Temple,24,
service,1607-11-01,debit,,Inner Temple,1200,
service,1607-11-01,debit,,Inner Temple,24,
service,1607-11-01,debit,Musicians,Inner Temple,240,
service,1608-11-01,debit,,Inner Temple,1140,
service,1608-11-01,debit,Musicians,Inner Temple,240,
goods,1608-11-01,debit,,Inner Temple,390,
service,1608-11-01,debit,,Inner Temple,720,
service,1608-11-01,debit,,Inner Temple,1200,
service,1609-11-01,debit,,Inner Temple,1200,
service,1609-11-01,debit,Musicians,Inner Temple,240,
service,1609-11-01,debit,,Inner Temple,1200,
service,1609-11-01,debit,Musicians,Inner Temple,240,
goods,1611-11-01,debit,,Inner Temple,24,
service,1611-11-01,debit,Musicians,Inner Temple,240,
service,1611-11-01,debit,Consort of Music,Inner Temple,600,
service,1611-11-01,debit,,Inner Temple,480,
service,1611-11-05,debit,Musicians,Inner Temple,160,
goods,1611-11-01,debit,,Inner Temple,24,
service,1611-11-01,debit,,Inner Temple,1440,
service,1611-11-01,debit,Musicians,Inner Temple,240,
goods,1612-11-01,debit,,Inner Temple,24,
service,1612-11-01,debit,Musicians,Inner Temple,240,
service,1612-11-01,debit,,Inner Temple,1200,
service,1612-11-05,debit,Musicians,Inner Temple,160,
service,1612-11-01,debit,,Inner Temple,1600,
service,1612-11-01,debit,company of players,Inner Temple,360,
goods,1612-11-01,debit,,Inner Temple,24,
service,1612-11-01,debit,Musicians,Inner Temple,240,
goods,1612-11-01,debit,,Inner Temple,120,
goods,1612-11-01,debit,,Inner Temple,60,
goods,1612-11-01,debit,,Inner Temple,24,
service,1612-11-01,debit,Mr Lewes Hele,Inner Temple,16800,
service,1612-11-01,debit,Mr Fenner,Inner Temple,2400,
service,1612-11-01,debit,messenger,Inner Temple,,
service,1612-11-01,debit,John Hodgkins,Inner Temple,30,
service,1613-11-01,debit,,Inner Temple,1600,
goods,1613-11-01,debit,,Inner Temple,24,
service,1613-11-01,debit,Musicians,Inner Temple,240,
service,1613-11-05,debit,Musicians,Inner Temple,160,
service,1613-11-01,debit,,Inner Temple,1600,
goods,1613-11-01,debit,,Inner Temple,24,
service,1613-11-01,debit,Musicians,Inner Temple,240,
service,1614-11-01,debit,King Majestys servants,Inner Temple,1440,
goods,1614-11-01,debit,,Inner Temple,24,
service,1614-11-01,debit,John Hopper,Inner Temple,240,
service,1614-11-01,debit,his maijesties servants,Inner Temple,1600,
goods,1614-11-01,debit,,Inner Temple,24,
service,1614-11-01,debit,Musicians,Inner Temple,240,
service,1614-11-01,debit,gentleman revelers,Inner Temple,480,
service,1614-12-17,debit,musicians,Christmas Stewards of Inner Temple,2400,
service,1614-12-17,debit,musicians,Christmas Stewards of Inner Temple,480,
goods,1614-12-24,debit,,Christmas Stewards of Inner Temple,72,
service,1614-12-24,debit,musicians,Christmas Stewards of Inner Temple,2880,
service,1614-12-31,debit,musicians,Christmas Stewards of Inner Temple,2640,
service,1614-01-07,debit,musicians,Christmas Stewards of Inner Temple,1320,
service,1615-11-01,debit,kings majesty servants,Inner Temple,1200,
goods,1615-11-01,debit,,Inner Temple,24,
service,1615-11-01,debit,John Hopper,Inner Temple,240,
service,1615-11-05,debit,musicians,Inner Temple,160,
goods,1615-11-01,debit,,Inner Temple,240,
service,1615-11-01,debit,,Inner Temple,1600,
service,1615-11-01,debit,musicians,Inner Temple,240,
goods,1615-11-01,debit,,Inner Temple,24,
obligation,1615-11-01,debit,Nicholas Polhill,Inner Temple,4800,
obligation,1615-11-01,debit,Mr Jordan [of the bench],Inner Temple,12000,
service,1615-12-20,debit,,Christmas Stewards of Inner Temple,18,
service,1615-12-20,debit,musicians,Christmas Stewards of Inner Temple,2540,
service,1615-12-27,debit,musicians,Christmas Stewards of Inner Temple,6500,
service,1615-01-03,debit,players,Christmas Stewards of Inner Temple,240,
goods,1615-01-03,debit,,Christmas Stewards of Inner Temple,360,
service,1615-01-03,debit,Mr Chettwood,Christmas Stewards of Inner Temple,5502,
service,1615-01-03,debit,Mr Chettwood,Christmas Stewards of Inner Temple,312,
service,1615-01-03,debit,musicians,Christmas Stewards of Inner Temple,5190,
service,1616-11-01,debit,kinges Majesties servants,Inner Temple,1600,
goods,1616-11-01,debit,,Inner Temple,24,
service,1616-11-01,debit,John Hopper,Inner Temple,240,
